ID:Nombre Producto:Precio Compra:Precio Venta:Cantidad Disponible:Proveedor:Disponible:Categoría:Fecha Creación:Fecha Actualización
44015:Monitor Modelo 209:856.09:1124.66:3:Electronix:True:Monitor:2024-08-02:2025-02-13
29455:Software Modelo 644:1230.45:1420.05:29:TechSupply:True:Software:2024-07-27:2025-01-27
47609:Monitor Modelo 227:872.25:1077.73:3:PCWorld:True:Monitor:2024-06-15:2025-01-28
35349:Software Modelo 392:1833.18:2230.86:1:PCWorld:True:Software:2024-07-18:2025-02-15
30005:Escritorio Modelo 514:190.71:256.97:26:SoftDistrib:True:Escritorio:2024-04-30:2025-02-15
83897:Escritorio Modelo 557:1571.92:1925.02:39:TechSupply:True:Escritorio:2024-10-24:2025-02-10
54228:Monitor Modelo 854:1884.98:2340.06:21:GamerZone:True:Monitor:2024-05-29:2025-01-26
69965:Escritorio Modelo 560:335.08:441.27:5:SoftDistrib:True:Escritorio:2024-07-09:2025-02-07
89718:Monitor Modelo 495:1173.94:1724.8:42:GamerZone:True:Monitor:2024-12-07:2025-02-09
25976:Impresora Modelo 737:1405.77:1817.84:24:Electronix:True:Impresora:2025-01-13:2025-01-23
